ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label
ck9zxqxztri3z0728k3skr8ps,ck9zxkk1w0lzs0hjsdjltacb8,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2Fa6577935-6328-d6ad-8867-1cba9adf101d-IMG-628.png?Expires=1590702782553&KeyName=labelbox-assets-key-1&Signature=l93kGWnTaXURu9et58dUS7xnonA,"{""objects"":[{""featureId"":""cka5xxw2819730y7y54h0zjmh"",""schemaId"":""cka5xsfu01fb50z8ypw5878si"",""title"":""unburnt area"",""value"":""unburnt_area"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka5xxw2819730y7y54h0zjmh?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""},{""featureId"":""cka73ux9v0x1d107yw0st7t1g"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Burnt area"",""value"":""burnt_area"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka73ux9v0x1d107yw0st7t1g?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589047324000,1589492598000,637.818,IMG-628.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=ck9zxqxztri3z0728k3skr8ps
cka08076kpyy5079956j9oxi2,ck9zxkk1w0m040hjsc1b90pm0,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F2c11263c-6784-6466-b8d7-a75457324d03-IMG-698.png?Expires=1590702782566&KeyName=labelbox-assets-key-1&Signature=1JTJrnFwVq5Qfbu5Dt1JHxDpKyg,"{""objects"":[{""featureId"":""cka0803yq124l10agn2rf6w33"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Fire"",""value"":""fire"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka0803yq124l10agn2rf6w33?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589064552000,1589492573000,202.647,IMG-698.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka08076kpyy5079956j9oxi2
cka080jhc537u0757ecd5t0ts,ck9zxkk1w0m0g0hjs3dye8ww3,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F116f3b6f-a833-6910-ce45-2ad659be7b65-IMG-797.png?Expires=1590702782567&KeyName=labelbox-assets-key-1&Signature=khgH8CWN25OsxIkJVJrMulvS3Oc,"{""objects"":[{""featureId"":""cka0exhm314v40z6fi0wiquq2"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Burnt area"",""value"":""burnt_area"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka0exhm314v40z6fi0wiquq2?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""},{""featureId"":""cka5xyy5k0ndg0zagvpmdaj8r"",""schemaId"":""cka5xsfu01fb50z8ypw5878si"",""title"":""unburnt area"",""value"":""unburnt_area"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka5xyy5k0ndg0zagvpmdaj8r?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589064567000,1589478696000,156.849,IMG-797.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka080jhc537u0757ecd5t0ts
cka0ffobc1onu0740knyqjnti,ck9zxkk1w0m0s0hjs1raf8aq3,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F2508bf1e-1fef-4dc2-9535-4c76f01b50a1-IMG-890.png?Expires=1590702782572&KeyName=labelbox-assets-key-1&Signature=DksxMpwhMfVzU88ZKfaI3kbapag,"{""objects"":[{""featureId"":""cka0f46qh14t20z7vrwev4c6m"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Burnt area"",""value"":""burnt_area"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka0f46qh14t20z7vrwev4c6m?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""},{""featureId"":""cka5y42oj0yl80z7v7rfrzplx"",""schemaId"":""cka5xsfu01fb50z8ypw5878si"",""title"":""unburnt area"",""value"":""unburnt_area"",""color"":""#FF8000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka5y42oj0yl80z7v7rfrzplx?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589077031000,1589492550000,1256.934,IMG-890.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0ffobc1onu0740knyqjnti
cka0ffx3gg0yy0854cc3dygmn,ck9zxkk1u0lxk0hjsge6h31jj,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F98b26773-4ec2-8858-7d2d-9d9291e38fdc-IMG-7.png?Expires=1590702782573&KeyName=labelbox-assets-key-1&Signature=6OuhydrSQSCjylFAVzGBGKn3Uzs,{},elejrv@stanford.edu,Wildfire,1589077042000,1589492522000,51.847,IMG-7.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0ffx3gg0yy0854cc3dygmn
cka0ffyg9ahta0870qkjg3s54,ck9zxkk1v0lxw0hjs5aj495z8,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F4c638e63-7723-cff7-ff8e-f8dd66da22d1-IMG-36.png?Expires=1590702782573&KeyName=labelbox-assets-key-1&Signature=V0tdR2tF2qyEOXucNSVLmTYhRgs,{},elejrv@stanford.edu,Wildfire,1589077044000,1589492489000,62.563,IMG-36.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0ffyg9ahta0870qkjg3s54
cka0fgtqnvynm0785k4titp43,ck9zxkk1v0ly80hjs3fqxcj3h,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2Ff1482ba6-d544-f5d8-0836-7f9b1eadc2ae-IMG-197.png?Expires=1590702782576&KeyName=labelbox-assets-key-1&Signature=tQKMV_1_IqgyeYTho6zzIK1LrOQ,"{""objects"":[{""featureId"":""cka72ff0001lr0z80b2r14w5d"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Burnt area"",""value"":""burnt_area"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka72ff0001lr0z80b2r14w5d?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589077085000,1589492422000,229.741,IMG-197.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0fgtqnvynm0785k4titp43
cka0fi1lv1psu0740dhmm4cx5,ck9zxkk1v0lyk0hjs1vgj9mqh,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F72f5f708-18f1-4ce4-bee3-2888f4a3fe89-IMG-203.png?Expires=1590702782577&KeyName=labelbox-assets-key-1&Signature=aM6ZeiBaki3I4B9LPjqr8GY6s7A,"{""objects"":[{""featureId"":""cka0fhcyo15170z7vua6agloc"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Burnt area"",""value"":""burnt_area"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka0fhcyo15170z7vua6agloc?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589077141000,1589492352000,297.308,IMG-203.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0fi1lv1psu0740dhmm4cx5
cka0fnzqn1t6e07409wr8b90t,ck9zxkk1v0lyw0hjs9da3eoa5,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2Fc9e857f4-4977-caaa-3b71-6f5b1ca06bdb-IMG-373.png?Expires=1590702782578&KeyName=labelbox-assets-key-1&Signature=1nfxxt-6CpnlU_l5hnh3gvM4cuw,"{""objects"":[{""featureId"":""cka0fj7fq14w310agrfbve11f"",""schemaId"":""ck9zxpazt0w110z6fh05vx2wq"",""title"":""Fire"",""value"":""fire"",""color"":""#FF0000"",""instanceURI"":""https://api.labelbox.com/masks/feature/cka0fj7fq14w310agrfbve11f?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJjazkyNjcxYzBpbmNmMDc0MTV2a28yMHU5Iiwib3JnYW5pemF0aW9uSWQiOiJjazkyNjcxYjVpbmM5MDc0MTJ0YjEzeTY5IiwiaWF0IjoxNTg5NDkzMTgyLCJleHAiOjE1OTIwODUxODJ9.r9CcKL6G_AWCve8tcovxxbQrN9gWn9edoMYXDd51KSI""}],""classifications"":[]}",elejrv@stanford.edu,Wildfire,1589077419000,1589492346000,324.051,IMG-373.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0fnzqn1t6e07409wr8b90t
cka0fww2nu3pe0728r79lnbi0,ck9zxkk1w0lz80hjs02n8c23s,https://storage.labelbox.com/ck92671b5inc907412tb13y69%2F55b6ddbd-090c-210a-f743-a560673b784d-IMG-516.png?Expires=1590702782578&KeyName=labelbox-assets-key-1&Signature=QDotYZThL9AAQ4y2tBLexhv71uE,{},elejrv@stanford.edu,Wildfire,1589077834000,1589492967000,40.19,IMG-516.png,-1,-1,,,Test Images,[],https://editor.labelbox.com?project=ck9268gp3581e0712ckpk72uy&label=cka0fww2nu3pe0728r79lnbi0
